"Company Name","Industry","Symbol","Series","ISIN Code"
"Coforge Ltd.","Information Technology","COFORGE.NS","EQ","INE591G01025"
"Cohance Lifesciences Ltd.","Healthcare","COHANCE.NS","EQ","INE03QK01018"
"Colgate Palmolive (India) Ltd.","Fast Moving Consumer Goods","COLPAL.NS","EQ","INE259A01022"
"Computer Age Management Services Ltd.","Financial Services","CAMS.NS","EQ","INE596I01012"
"Concord Biotech Ltd.","Healthcare","CONCORDBIO.NS","EQ","INE338H01029"
"Container Corporation of India Ltd.","Services","CONCOR.NS","EQ","INE111A01025"
"Coromandel International Ltd.","Chemicals","COROMANDEL.NS","EQ","INE169A01031"
"Craftsman Automation Ltd.","Automobile and Auto Components","CRAFTSMAN.NS","EQ","INE00LO01017"
"CreditAccess Grameen Ltd.","Financial Services","CREDITACC.NS","EQ","INE741K01010"
"Crompton Greaves Consumer Electricals Ltd.","Consumer Durables","CROMPTON.NS","EQ","INE299U01018"
"Cummins India Ltd.","Capital Goods","CUMMINSIND.NS","EQ","INE298A01020"
"Cyient Ltd.","Information Technology","CYIENT.NS","EQ","INE136B01020"
"DCM Shriram Ltd.","Diversified","DCMSHRIRAM.NS","EQ","INE499A01024"
"DLF Ltd.","Realty","DLF.NS","EQ","INE271C01023"
"DOMS Industries Ltd.","Fast Moving Consumer Goods","DOMS.NS","EQ","INE321T01012"
"Dabur India Ltd.","Fast Moving Consumer Goods","DABUR.NS","EQ","INE016A01026"
"Dalmia Bharat Ltd.","Construction Materials","DALBHARAT.NS","EQ","INE00R701025"
"Data Patterns (India) Ltd.","Capital Goods","DATAPATTNS.NS","EQ","INE0IX101010"
"Deepak Fertilisers & Petrochemicals Corp. Ltd.","Chemicals","DEEPAKFERT.NS","EQ","INE501A01019"
"Deepak Nitrite Ltd.","Chemicals","DEEPAKNTR.NS","EQ","INE288B01029"
"Delhivery Ltd.","Services","DELHIVERY.NS","EQ","INE148O01028"
"Devyani International Ltd.","Consumer Services","DEVYANI.NS","EQ","INE872J01023"
"Divi's Laboratories Ltd.","Healthcare","DIVISLAB.NS","EQ","INE361B01024"
"Dixon Technologies (India) Ltd.","Consumer Durables","DIXON.NS","EQ","INE935N01020"
"Dr. Lal Path Labs Ltd.","Healthcare","LALPATHLAB.NS","EQ","INE600L01024"
"Dr. Reddy's Laboratories Ltd.","Healthcare","DRREDDY.NS","EQ","INE089A01031"
"Dummy Valor Estate Ltd.","Consumer Services","DUMMYDBRLT.NS","BE","DUM879I01012"
"E.I.D. Parry (India) Ltd.","Fast Moving Consumer Goods","EIDPARRY.NS","EQ","INE126A01031"
"EIH Ltd.","Consumer Services","EIHOTEL.NS","EQ","INE230A01023"
"Eicher Motors Ltd.","Automobile and Auto Components","EICHERMOT.NS","EQ","INE066A01021"
"Elecon Engineering Co. Ltd.","Capital Goods","ELECON.NS","EQ","INE205B01031"
"Elgi Equipments Ltd.","Capital Goods","ELGIEQUIP.NS","EQ","INE285A01027"
"Emami Ltd.","Fast Moving Consumer Goods","EMAMILTD.NS","EQ","INE548C01032"
"Emcure Pharmaceuticals Ltd.","Healthcare","EMCURE.NS","EQ","INE168P01015"
"Endurance Technologies Ltd.","Automobile and Auto Components","ENDURANCE.NS","EQ","INE913H01037"
"Engineers India Ltd.","Construction","ENGINERSIN.NS","EQ","INE510A01028"
"Eris Lifesciences Ltd.","Healthcare","ERIS.NS","EQ","INE406M01024"
"Escorts Kubota Ltd.","Capital Goods","ESCORTS.NS","EQ","INE042A01014"
"Eternal Ltd.","Consumer Services","ETERNAL.NS","EQ","INE758T01015"
"Exide Industries Ltd.","Automobile and Auto Components","EXIDEIND.NS","EQ","INE302A01020"
"FSN E-Commerce Ventures Ltd.","Consumer Services","NYKAA.NS","EQ","INE388Y01029"
"Federal Bank Ltd.","Financial Services","FEDERALBNK.NS","EQ","INE171A01029"
"Fertilisers and Chemicals Travancore Ltd.","Chemicals","FACT.NS","EQ","INE188A01015"
"Finolex Cables Ltd.","Capital Goods","FINCABLES.NS","EQ","INE235A01022"
"Finolex Industries Ltd.","Capital Goods","FINPIPE.NS","EQ","INE183A01024"
"Firstsource Solutions Ltd.","Services","FSL.NS","EQ","INE684F01012"
"Five-Star Business Finance Ltd.","Financial Services","FIVESTAR.NS","EQ","INE128S01021"
"Fortis Healthcare Ltd.","Healthcare","FORTIS.NS","EQ","INE061F01013"
"GAIL (India) Ltd.","Oil Gas & Consumable Fuels","GAIL.NS","EQ","INE129A01019"
"GE Vernova T&D India Ltd.","Capital Goods","GVT&D.NS","EQ","INE200A01026"
"GMR Airports Ltd.","Services","GMRAIRPORT.NS","EQ","INE776C01039"
"Garden Reach Shipbuilders & Engineers Ltd.","Capital Goods","GRSE.NS","EQ","INE382Z01011"
"General Insurance Corporation of India","Financial Services","GICRE.NS","EQ","INE481Y01014"
"Gillette India Ltd.","Fast Moving Consumer Goods","GILLETTE.NS","EQ","INE322A01010"
"Gland Pharma Ltd.","Healthcare","GLAND.NS","EQ","INE068V01023"
"Glaxosmithkline Pharmaceuticals Ltd.","Healthcare","GLAXO.NS","EQ","INE159A01016"
"Glenmark Pharmaceuticals Ltd.","Healthcare","GLENMARK.NS","EQ","INE935A01035"
"Global Health Ltd.","Healthcare","MEDANTA.NS","EQ","INE474Q01031"
"Go Digit General Insurance Ltd.","Financial Services","GODIGIT.NS","EQ","INE03JT01014"
"Godawari Power & Ispat Ltd.","Capital Goods","GPIL.NS","EQ","INE177H01039"
"Godfrey Phillips India Ltd.","Fast Moving Consumer Goods","GODFRYPHLP.NS","EQ","INE260B01028"
"Godrej Agrovet Ltd.","Fast Moving Consumer Goods","GODREJAGRO.NS","EQ","INE850D01014"
"Godrej Consumer Products Ltd.","Fast Moving Consumer Goods","GODREJCP.NS","EQ","INE102D01028"
"Godrej Industries Ltd.","Diversified","GODREJIND.NS","EQ","INE233A01035"
"Godrej Properties Ltd.","Realty","GODREJPROP.NS","EQ","INE484J01027"
"Granules India Ltd.","Healthcare","GRANULES.NS","EQ","INE101D01020"
"Graphite India Ltd.","Capital Goods","GRAPHITE.NS","EQ","INE371A01025"
"Grasim Industries Ltd.","Construction Materials","GRASIM.NS","EQ","INE047A01021"
"Gravita India Ltd.","Metals & Mining","GRAVITA.NS","EQ","INE024L01027"
"Great Eastern Shipping Co. Ltd.","Services","GESHIP.NS","EQ","INE017A01032"
"Gujarat Fluorochemicals Ltd.","Chemicals","FLUOROCHEM.NS","EQ","INE09N301011"
"Gujarat Gas Ltd.","Oil Gas & Consumable Fuels","GUJGASLTD.NS","EQ","INE844O01030"
"Gujarat Mineral Development Corporation Ltd.","Metals & Mining","GMDCLTD.NS","EQ","INE131A01031"
"Gujarat Narmada Valley Fertilizers and Chemicals Ltd.","Chemicals","GNFC.NS","EQ","INE113A01013"
"Gujarat Pipavav Port Ltd.","Services","GPPL.NS","EQ","INE517F01014"
"Gujarat State Petronet Ltd.","Oil Gas & Consumable Fuels","GSPL.NS","EQ","INE246F01010"
"H.E.G. Ltd.","Capital Goods","HEG.NS","EQ","INE545A01024"
"HBL Engineering Ltd.","Capital Goods","HBLENGINE.NS","EQ","INE292B01021"
"HCL Technologies Ltd.","Information Technology","HCLTECH.NS","EQ","INE860A01027"
"HDFC Asset Management Company Ltd.","Financial Services","HDFCAMC.NS","EQ","INE127D01025"
"HDFC Bank Ltd.","Financial Services","HDFCBANK.NS","EQ","INE040A01034"
"HDFC Life Insurance Company Ltd.","Financial Services","HDFCLIFE.NS","EQ","INE795G01014"
"HFCL Ltd.","Telecommunication","HFCL.NS","EQ","INE548A01028"
"Happiest Minds Technologies Ltd.","Information Technology","HAPPSTMNDS.NS","EQ","INE419U01012"
"Havells India Ltd.","Consumer Durables","HAVELLS.NS","EQ","INE176B01034"
"Hero MotoCorp Ltd.","Automobile and Auto Components","HEROMOTOCO.NS","EQ","INE158A01026"
"Himadri Speciality Chemical Ltd.","Chemicals","HSCL.NS","EQ","INE019C01026"
"Hindalco Industries Ltd.","Metals & Mining","HINDALCO.NS","EQ","INE038A01020"
"Hindustan Aeronautics Ltd.","Capital Goods","HAL.NS","EQ","INE066F01020"
"Hindustan Copper Ltd.","Metals & Mining","HINDCOPPER.NS","EQ","INE531E01026"
"Hindustan Petroleum Corporation Ltd.","Oil Gas & Consumable Fuels","HINDPETRO.NS","EQ","INE094A01015"
"Hindustan Unilever Ltd.","Fast Moving Consumer Goods","HINDUNILVR.NS","EQ","INE030A01027"
"Hindustan Zinc Ltd.","Metals & Mining","HINDZINC.NS","EQ","INE267A01025"
"Hitachi Energy India Ltd.","Capital Goods","POWERINDIA.NS","EQ","INE07Y701011"
"Home First Finance Company India Ltd.","Financial Services","HOMEFIRST.NS","EQ","INE481N01025"
"Honasa Consumer Ltd.","Fast Moving Consumer Goods","HONASA.NS","EQ","INE0J5401028"
"Honeywell Automation India Ltd.","Capital Goods","HONAUT.NS","EQ","INE671A01010"
"Housing & Urban Development Corporation Ltd.","Financial Services","HUDCO.NS","EQ","INE031A01017"
"Hyundai Motor India Ltd.","Automobile and Auto Components","HYUNDAI.NS","EQ","INE0V6F01027"
"ICICI Bank Ltd.","Financial Services","ICICIBANK.NS","EQ","INE090A01021"
"ICICI Lombard General Insurance Company Ltd.","Financial Services","ICICIGI.NS","EQ","INE765G01017"
"ICICI Prudential Life Insurance Company Ltd.","Financial Services","ICICIPRULI.NS","EQ","INE726G01019"
"IDBI Bank Ltd.","Financial Services","IDBI.NS","EQ","INE008A01015"
"IDFC First Bank Ltd.","Financial Services","IDFCFIRSTB.NS","EQ","INE092T01019"
"IFCI Ltd.","Financial Services","IFCI.NS","EQ","INE039A01010"
"IIFL Finance Ltd.","Financial Services","IIFL.NS","EQ","INE530B01024"
"INOX India Ltd.","Capital Goods","INOXINDIA.NS","EQ","INE616N01034"
"IRB Infrastructure Developers Ltd.","Construction","IRB.NS","EQ","INE821I01022"
"IRCON International Ltd.","Construction","IRCON.NS","EQ","INE962Y01021"
"ITC Ltd.","Fast Moving Consumer Goods","ITC.NS","EQ","INE154A01025"
"ITI Ltd.","Telecommunication","ITI.NS","EQ","INE248A01017"
"Indegene Ltd.","Healthcare","INDGN.NS","EQ","INE065X01017"
"India Cements Ltd.","Construction Materials","INDIACEM.NS","EQ","INE383A01012"
"Indiamart Intermesh Ltd.","Consumer Services","INDIAMART.NS","EQ","INE933S01016"
"Indian Bank","Financial Services","INDIANB.NS","EQ","INE562A01011"
"Indian Energy Exchange Ltd.","Financial Services","IEX.NS","EQ","INE022Q01020"
"Indian Hotels Co. Ltd.","Consumer Services","INDHOTEL.NS","EQ","INE053A01029"
"Indian Oil Corporation Ltd.","Oil Gas & Consumable Fuels","IOC.NS","EQ","INE242A01010"
"Indian Overseas Bank","Financial Services","IOB.NS","EQ","INE565A01014"
"Indian Railway Catering And Tourism Corporation Ltd.","Consumer Services","IRCTC.NS","EQ","INE335Y01020"
"Indian Railway Finance Corporation Ltd.","Financial Services","IRFC.NS","EQ","INE053F01010"
"Indian Renewable Energy Development Agency Ltd.","Financial Services","IREDA.NS","EQ","INE202E01016"
"Indraprastha Gas Ltd.","Oil Gas & Consumable Fuels","IGL.NS","EQ","INE203G01027"
"Indus Towers Ltd.","Telecommunication","INDUSTOWER.NS","EQ","INE121J01017"
"IndusInd Bank Ltd.","Financial Services","INDUSINDBK.NS","EQ","INE095A01012"
"Info Edge (India) Ltd.","Consumer Services","NAUKRI.NS","EQ","INE663F01032"
"Infosys Ltd.","Information Technology","INFY.NS","EQ","INE009A01021"
"Inox Wind Ltd.","Capital Goods","INOXWIND.NS","EQ","INE066P01011"
"Intellect Design Arena Ltd.","Information Technology","INTELLECT.NS","EQ","INE306R01017"
"InterGlobe Aviation Ltd.","Services","INDIGO.NS","EQ","INE646L01027"
"International Gemmological Institute (India) Ltd.","Services","IGIL.NS","EQ","INE0Q9301021"
"Inventurus Knowledge Solutions Ltd.","Information Technology","IKS.NS","EQ","INE115Q01022"
"Ipca Laboratories Ltd.","Healthcare","IPCALAB.NS","EQ","INE571A01038"
"J.B. Chemicals & Pharmaceuticals Ltd.","Healthcare","JBCHEPHARM.NS","EQ","INE572A01036"
"J.K. Cement Ltd.","Construction Materials","JKCEMENT.NS","EQ","INE823G01014"
"JBM Auto Ltd.","Automobile and Auto Components","JBMA.NS","EQ","INE927D01051"
"JK Tyre & Industries Ltd.","Automobile and Auto Components","JKTYRE.NS","EQ","INE573A01042"
"JM Financial Ltd.","Financial Services","JMFINANCIL.NS","EQ","INE780C01023"
"JSW Energy Ltd.","Power","JSWENERGY.NS","EQ","INE121E01018"
"JSW Holdings Ltd.","Financial Services","JSWHL.NS","EQ","INE824G01012"
"JSW Infrastructure Ltd.","Services","JSWINFRA.NS","EQ","INE880J01026"
"JSW Steel Ltd.","Metals & Mining","JSWSTEEL.NS","EQ","INE019A01038"
"Jaiprakash Power Ventures Ltd.","Power","JPPOWER.NS","EQ","INE351F01018"
"Jammu & Kashmir Bank Ltd.","Financial Services","J&KBANK.NS","EQ","INE168A01041"
"Jindal Saw Ltd.","Capital Goods","JINDALSAW.NS","EQ","INE324A01032"
"Jindal Stainless Ltd.","Metals & Mining","JSL.NS","EQ","INE220G01021"
"Jindal Steel Ltd.","Metals & Mining","JINDALSTEL.NS","EQ","INE749A01030"
"Jio Financial Services Ltd.","Financial Services","JIOFIN.NS","EQ","INE758E01017"
"Jubilant Foodworks Ltd.","Consumer Services","JUBLFOOD.NS","EQ","INE797F01020"
"Jubilant Ingrevia Ltd.","Chemicals","JUBLINGREA.NS","EQ","INE0BY001018"
"Jubilant Pharmova Ltd.","Healthcare","JUBLPHARMA.NS","EQ","INE700A01033"
"Jupiter Wagons Ltd.","Capital Goods","JWL.NS","EQ","INE209L01016"
"Justdial Ltd.","Consumer Services","JUSTDIAL.NS","EQ","INE599M01018"
"Jyothy Labs Ltd.","Fast Moving Consumer Goods","JYOTHYLAB.NS","EQ","INE668F01031"
"Jyoti CNC Automation Ltd.","Capital Goods","JYOTICNC.NS","EQ","INE980O01024"
"K.P.R. Mill Ltd.","Textiles","KPRMILL.NS","EQ","INE930H01031"
"KEI Industries Ltd.","Capital Goods","KEI.NS","EQ","INE878B01027"
"KNR Constructions Ltd.","Construction","KNRCON.NS","EQ","INE634I01029"
"KPIT Technologies Ltd.","Information Technology","KPITTECH.NS","EQ","INE04I401011"
"Kajaria Ceramics Ltd.","Consumer Durables","KAJARIACER.NS","EQ","INE217B01036"
"Kalpataru Projects International Ltd.","Construction","KPIL.NS","EQ","INE220B01022"
"Kalyan Jewellers India Ltd.","Consumer Durables","KALYANKJIL.NS","EQ","INE303R01014"
"Kansai Nerolac Paints Ltd.","Consumer Durables","KANSAINER.NS","EQ","INE531A01024"
"Karur Vysya Bank Ltd.","Financial Services","KARURVYSYA.NS","EQ","INE036D01028"
"Kaynes Technology India Ltd.","Capital Goods","KAYNES.NS","EQ","INE918Z01012"
"Kec International Ltd.","Construction","KEC.NS","EQ","INE389H01022"
"Kfin Technologies Ltd.","Financial Services","KFINTECH.NS","EQ","INE138Y01010"
"Kirloskar Brothers Ltd.","Capital Goods","KIRLOSBROS.NS","EQ","INE732A01036"
"Kirloskar Oil Eng Ltd.","Capital Goods","KIRLOSENG.NS","EQ","INE146L01010"
"Kotak Mahindra Bank Ltd.","Financial Services","KOTAKBANK.NS","EQ","INE237A01028"
"Krishna Institute of Medical Sciences Ltd.","Healthcare","KIMS.NS","EQ","INE967H01025"
"L&T Finance Ltd.","Financial Services","LTF.NS","EQ","INE498L01015"
"L&T Technology Services Ltd.","Information Technology","LTTS.NS","EQ","INE010V01017"
"LIC Housing Finance Ltd.","Financial Services","LICHSGFIN.NS","EQ","INE115A01026"
"LT Foods Ltd.","Fast Moving Consumer Goods","LTFOODS.NS","EQ","INE818H01020"
"LTIMindtree Ltd.","Information Technology","LTIM.NS","EQ","INE214T01019"
"Larsen & Toubro Ltd.","Construction","LT.NS","EQ","INE018A01030"
"Latent View Analytics Ltd.","Information Technology","LATENTVIEW.NS","EQ","INE0I7C01011"
"Laurus Labs Ltd.","Healthcare","LAURUSLABS.NS","EQ","INE947Q01028"
"Lemon Tree Hotels Ltd.","Consumer Services","LEMONTREE.NS","EQ","INE970X01018"
"Life Insurance Corporation of India","Financial Services","LICI.NS","EQ","INE0J1Y01017"
"Linde India Ltd.","Chemicals","LINDEINDIA.NS","EQ","INE473A01011"
"Lloyds Metals And Energy Ltd.","Metals & Mining","LLOYDSME.NS","EQ","INE281B01032"
"Lodha Developers Ltd.","Realty","LODHA.NS","EQ","INE670K01029"
"Lupin Ltd.","Healthcare","LUPIN.NS","EQ","INE326A01037"
"MMTC Ltd.","Services","MMTC.NS","EQ","INE123F01029"
"MRF Ltd.","Automobile and Auto Components","MRF.NS","EQ","INE883A01011"
"Mahanagar Gas Ltd.","Oil Gas & Consumable Fuels","MGL.NS","EQ","INE002S01010"
"Maharashtra Seamless Ltd.","Capital Goods","MAHSEAMLES.NS","EQ","INE271B01025"
"Mahindra & Mahindra Financial Services Ltd.","Financial Services","M&MFIN.NS","EQ","INE774D01024"
"Mahindra & Mahindra Ltd.","Automobile and Auto Components","M&M.NS","EQ","INE101A01026"
"Manappuram Finance Ltd.","Financial Services","MANAPPURAM.NS","EQ","INE522D01027"
